operator,speedup
"threshold",7.750209749201196
"threshold_backward",5.565287677665469
"zeros_like",5.520559418467109
"ReluBackward0",5.3749855166423925
"relu",5.348813180222776
"max_pool2d_with_indices",4.130844012789604
"fill_",3.6858013761378747
"_batch_norm_impl_index",3.455856562697996
"batch_norm",3.427964633300214
"max_pool1d_with_indices",2.9856899112451454
"max_pool1d",2.941087243201373
"mul_",2.692637000682689
"sqrt_out",2.690878031420074
"div",2.5942695535113316
"zero_",2.1967169231168824
"addcdiv_out",2.0098306916814113
"torch::autograd::AccumulateGrad",1.7635219796068118
"sqrt",1.4661081228873998
"max_pool2d_with_indices_backward",1.422008249734606
"MaxPool2DWithIndicesBackward",1.4181925339357269
"add",1.2613357573752793
"_convolution",1.2243192759335342
"convolution",1.22369727125454
"conv1d",1.2231013644018103
"view",1.207655917334808
"addcdiv_",1.1909792630172507
"add_",1.1208767435015372
"mm",1.0228402174454596
"addcmul_out",0.9493559836885536
"addmm",0.8120891678637273
"AddmmBackward",0.7680944945935825
"is_floating_point",0.744254626680584
"_cat",0.7282805722810293
"cat",0.7278587727099703
"div_",0.6880357607807182
"stack",0.6663257054725477
"nll_loss_backward",0.6471985360737854
"addcmul_",0.6027788916154703
"_log_softmax",0.5960826003598202
"log_softmax",0.5950617601371685
"NllLossBackward",0.5887883961301488
"empty_like",0.5808235541583339
"randperm_out",0.5692870210075266
"UnsqueezeBackward0",0.5566488349811431
"randperm",0.5495150434681517
"random_",0.5376325884171136
"squeeze",0.5373783511538555
"SqueezeBackward1",0.5155003041367033
"empty",0.4612144718640346
"LogSoftmaxBackward",0.3935868573855018
"detach",0.3912673684170372
"_log_softmax_backward_data",0.3895440810229045
"resize_",0.37123124370063004
"resize_as_",0.3617396642652918
"nll_loss",0.3560129023994262
"nll_loss_forward",0.3464603273832108
"ones_like",0.3406119082444681
"expand",0.32196265611190894
"as_strided",0.31295139294407054
"scalar_tensor",0.3015694839356619
"transpose",0.2992087260111242
"t",0.29594661187260407
"as_strided_",0.2686484172605983
"contiguous",0.26197273578584357
"torch::autograd::GraphRoot",0.256749349508147
"unsqueeze",0.2501925155363912
"TBackward",0.24491409658466545
"is_complex",0.22425277401632185
"transpose_",0.19740120371022715
"narrow",0.1937280962108804
"item",0.1832179743746475
"slice",0.16345488437766678
"empty_strided",0.1299818793987334
"stride",0.12472934927972963
"size",0.11968114771297637
"_local_scalar_dense",0.10625819480721246
"detach_",0.10472259438907625
"to",0.03271217470505033
"copy_",0.014433285640141959
