operator,speedup
"embedding_dense_backward",21.055604473767506
"embedding_backward",20.872025684529973
"EmbeddingBackward",20.638438252956483
"div",14.05532045473057
"lstm",12.626223530983891
"sqrt_out",10.854210610617569
"sqrt",8.43346801686375
"zeros",7.450543347354528
"addcdiv_out",7.140047668864413
"addcdiv_",6.3910425361148056
"mul_",6.014430842068081
"zero_",5.7180044431160795
"torch::autograd::AccumulateGrad",5.08531896907108
"index_select",4.219894705844453
"addcmul_out",3.9709236303903914
"addcmul_",3.4808545408104363
"fill_",3.082517477496113
"zeros_like",2.634239097974015
"embedding",2.522032603532627
"view",1.6005955444438469
"mm",1.5731673187291655
"ones_like",1.305085712859306
"resize_",1.1058760097311575
"as_strided_",1.0497606156886614
"is_floating_point",0.9521211520954044
"nll_loss",0.8412283990643892
"nll_loss_forward",0.8329054731028582
"empty",0.7759389778303557
"transpose_",0.7451267939261422
"AddmmBackward",0.7050243679607707
"squeeze",0.7027344305699346
"reshape",0.677059027120887
"expand",0.6434013109924227
"nll_loss_backward",0.5688101001117465
"t_",0.5428182461615167
"contiguous",0.5130432654901895
"NllLossBackward",0.5121044318818377
"slice",0.5066670193827306
"addmm",0.49938851060556083
"empty_like",0.4931144380207081
"TBackward",0.411084840298046
"log_softmax",0.39271845201112204
"detach",0.38734588521604363
"is_complex",0.38163653451339896
"resize_as_",0.38143310265807495
"_log_softmax",0.36514872950151317
"torch::autograd::GraphRoot",0.3547236030352509
"cudnn_is_acceptable",0.33474118721323565
"t",0.3235543389042094
"LogSoftmaxBackward",0.30516303531887495
"_log_softmax_backward_data",0.2981982149185016
"detach_",0.2498980657509601
"empty_strided",0.20725710515091034
"stride",0.19003476355608465
"item",0.18993686586393052
"transpose",0.18287412568450317
"SqueezeBackward1",0.16360422346919273
"to",0.15613002529519684
"as_strided",0.1533569491870848
"copy_",0.14921905014040168
"add_",0.1425436924963105
"size",0.1374244477627203
"select",0.11614284881465792
"_local_scalar_dense",0.11314416667004305
"unsqueeze",0.039648114148728444
