operator,speedup
_log_softmax_backward_data,76.08296587477182
LogSoftmaxBackward,64.95157302161094
max_pool2d_with_indices,15.800587273920708
max_pool2d,15.63428152584423
mm,10.91653483783913
add,10.71121131168958
AddmmBackward,8.897862332908225
MeanBackward1,6.474696648024015
contiguous,5.889481658439706
div,5.656183487373868
_convolution,4.523640460101861
addmm,4.502978201617991
convolution,4.485328396650508
_batch_norm_impl_index,4.454734714440397
conv2d,4.449434076015057
batch_norm,4.395299520325437
threshold_backward,3.8082899704120354
ReluBackward1,3.7257642995137044
MaxPool2DWithIndicesBackward,2.965472251168604
max_pool2d_with_indices_backward,2.958466593489779
mul_,2.9371738123844873
addcdiv_out,2.746854235747666
torch::autograd::AccumulateGrad,2.5588038314746164
_log_softmax,2.4530004238439522
log_softmax,2.389021091653097
add_,2.3133042370512245
mean,2.2321130108541145
nll_loss_backward,2.2158678581074436
threshold_,2.192561094602959
sqrt_out,2.108865851495007
fill_,1.8220228324534304
addcdiv_,1.6961914652681709
NllLossBackward,1.6454687241655277
zero_,1.2673785003765987
adaptive_avg_pool2d,1.2061880245081729
addcmul_out,1.1934685725623309
sqrt,1.1698457172600258
zeros_like,1.105463451088321
relu_,1.0745546058533142
resize_as_,0.8282512873200168
AddBackward0,0.7845452712538155
addcmul_,0.730806398798755
random_,0.7300384989352223
view,0.6558844491187598
empty,0.6391268137316656
resize_,0.6289737459364956
is_floating_point,0.5881405957243083
ViewBackward,0.577876987175279
expand,0.5254745871745771
detach,0.5061029594625978
t,0.4893635224365927
transpose,0.39538145235148164
reshape,0.3930702818449525
div_,0.3654404346659232
nll_loss,0.35067254407926624
sub_,0.3478486520541757
nll_loss_forward,0.32207878860313205
TBackward,0.3112925170004087
as_strided,0.2890692560278459
flatten,0.2885520349218922
clone,0.24943036730268817
empty_like,0.24711080023223295
cat,0.2470240998950766
_cat,0.24587772010987713
stack,0.22449273984285847
to,0.21248509306214422
permute,0.2106565988133973
copy_,0.2070213181800894
set_,0.20598799567426426
eq_out,0.19861950339595244
eq,0.1957040601022959
empty_strided,0.18836419603918902
torch::autograd::GraphRoot,0.16475079528205216
any,0.15787816439594513
is_complex,0.1513273476840664
size,0.14906417087732327
narrow,0.14139163987142095
item,0.1372179882646429
_local_scalar_dense,0.13471547462193875
is_nonzero,0.12286554551696666
slice,0.11015439144411864
ones_like,0.10106086477581376
unsqueeze,0.09674069960078358
detach_,0.09191538797815177
stride,0.08298969064939495
